title,genre,country,production_company,runtime,release_date,overview,tagline,budget,revenue,popularity,vote_average,vote_count,poster_path,tmdb_id,imdb_id
Accepted,Comedy,United States of America,Universal Pictures,93,8/18/06,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",When every college turned them down. . . they made one up.,23000000,38505009,7.06088,6.2,412,/2GaDZYNy3GgraGfn54FWUSrxPiF.jpg,9788,tt0384793
She's Funny That Way,Comedy,Germany,Lagniappe Films,93,10/27/14,"On the set of a playwright's new project, a love triangle forms between his wife, her ex-lover, and the call girl-turned-actress cast in the production.","The question is, Who is doing Who?",0,111996,7.032964,5.8,238,/yM1YDF9z26T8QaG8soIfvpAr9yl.jpg,245906,tt1767372
Song of the Sea,Family,Belgium,Irish Film Board,93,9/6/14,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",Let the song of the sea sway your heart...,0,857522,6.967358,8.1,420,/uvNv23Arf2ZYtimiStSB2c1DAEX.jpg,110416,tt1865505
How High,Comedy,United States of America,Universal Pictures,93,12/21/01,"Multi-platinum rap superstars Redman and Method Man star as Jamal and Silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at Harvard. Ivy League ways are strange but Silas and Jamal take it in a stride -- until their supply of supernatural smoke runs dry. That's when they have to start living by their wits and rely on their natural resources to make the grade.",They've got their degrees all rolled up.,12000000,31155435,6.796277,6.4,230,/AdQDz4LF6BzFfmyIJkMtrj707BZ.jpg,8386,tt0278488
Enough Said,Comedy,United States of America,Fox Searchlight Pictures,93,9/18/13,"Eva is a divorced soon-to-be empty-nester wondering about her next act. Then she meets Marianne, the embodiment of her perfect self. Armed with a restored outlook on being middle-aged and single, Eva decides to take a chance on her new love interest Albert — a sweet, funny and like-minded man. But things get complicated when Eva discovers that Albert is in fact the dreaded ex–husband of Marianne...",,0,25288872,6.782909,6.6,351,/gPJ7KyzdHVpCaxdiq22sPEmNJZV.jpg,209263,tt2390361
Crossroads,Action,United States of America,Paramount Pictures,93,2/15/02,"Three friends get together and bury a box making a pact to open it at midnight at their high school graduation. In the little town in Georgia that they live in, things soon change. One is little miss perfect, one is an engaged prom queen, and the other is a pregnant outcast. The night of graduation, they open the box and they strike up a conversation. All of a sudden, one brings up the topic of her going to Los Angeles for a record contract audition. They all decide to go together and they leave. With a little money, they set out on the road with a guy named Ben. When one of them tells the other a rumor that he might be a homicidal maniac they are all scared of him. When they reach LA, Lucy falls in love with Ben and against her father's wishes, she stays and she goes to the audition.",Dreams change. Friends are forever,12000000,61141030,6.631356,4.7,161,/egIs4cWxn0iBErFKrQ7STckjj49.jpg,17130,tt0275022
Hot Tub Time Machine 2,Comedy,United States of America,Paramount Pictures,93,2/20/15,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",The Laws of Space and Time are About to be Violated.,14000000,12314651,6.575393,5,360,/tQtWuwvMf0hCc2QR2tkolwl7c3c.jpg,243938,tt2637294
Cabin Fever,Horror,United States of America,Lions Gate Films,93,8/15/03,"A group of five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",Terror… in the flesh.,1500000,30553394,6.466688,5.5,332,/pDFFHha2KwW6ZjvrZQtXaS6PIYV.jpg,11547,tt0303816
Pontypool,Horror,Canada,Ponty Up Pictures,93,3/6/09,"When disc jockey Grant Mazzy reports to his basement radio station in the Canadian town of Pontypool, he thinks it's just another day at work. But when he hears reports of a virus that turns people into zombies, Mazzy barricades himself in the radio booth and tries to figure out a way to warn his listeners about the virus and its unlikely mode of transmission.",Shut up or die.,1500000,32000,6.407207,6.6,187,/hd8zqF2lBLIVsOqa2TLGzZcXcwP.jpg,23963,tt1226681
The 51st State,Thriller,Canada,Film Council,93,12/7/01,"Elmo McElroy is a streetwise American master chemist who heads to England to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' McElroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. But his plans for a quick, profitable score go comically awry when he gets stuck in Liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses.",Nice Wheels. Dirty Deals. And One Mean Mother In A Kilt.,28,14,6.368323,5.9,173,/wh7oKqAsNqpNcpFiW6LrH4Z79Ga.jpg,1613,tt0227984
